customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
R_1JUT4H78WPmsV36,389,14,281.15999999999997,2,3,2,7,Loyal
R_1JXvzOjJfRfNBLk,336,12,178.57999999999998,2,2,2,6,At Risk
R_1K0zy1Mt6OG2jGF,193,24,605.47,4,3,3,10,Champions
R_1K2pnJ1E6MRzlr0,495,15,257.29,1,3,2,6,At Risk
R_1K3XYuvFofXLIzN,1140,1,22.94,1,1,1,3,Lapsed
R_1K8s5AXqBrnDyC4,593,16,263.57,1,3,2,6,At Risk
R_1K9f38YmK0xZOOv,284,12,191.43,2,2,2,6,At Risk
R_1K9kGW0TCypZf4M,313,4,48.51,2,1,1,4,Lapsed
R_1K9yOc1WbKzImgH,252,3,39.949999999999996,3,1,1,5,At Risk
R_1KdkZBS3fscHwuC,502,2,167.98000000000002,1,1,2,4,Lapsed
R_1KdlBlo1yOVwef9,480,8,103.8,1,2,1,4,Lapsed
R_1Kdrii5cpL8DIZS,134,23,579.2900000000001,4,3,3,10,Champions
R_1KeTKuQXOr9Ds8d,373,6,320.1,2,1,3,6,At Risk
R_1KeXbdcXuMQWdmP,139,36,531.33,4,4,3,11,Champions
R_1Kfqeo4hMzlsFdQ,145,14,301.77,4,3,2,9,Loyal
R_1KgcgVU74gORt4G,533,9,665.02,1,2,4,7,Loyal
R_1Kj7uR43IVKeTra,1314,1,18.39,1,1,1,3,Lapsed
R_1KkFs7rgWXlWf58,225,32,941.51,3,4,4,11,Champions
R_1KlMYPvPKoudQO5,181,11,603.12,4,2,3,9,Loyal
R_1KloshKwV8MUAx4,225,29,1290.0,3,4,4,11,Champions
R_1KloxYvQthvrytv,201,31,690.8,3,4,4,11,Champions
R_1KlrpXr5yhzzVu3,245,2,186.81,3,1,2,6,At Risk
R_1Km9vP07nuJmFHX,259,3,37.36,2,1,1,4,Lapsed
R_1KmbYBZQ4ogvucS,614,12,214.67000000000002,1,2,2,5,At Risk
R_1KpwZSZ5wwEFepN,199,18,427.32,3,3,3,9,Loyal
R_1KqhfYKlNJg85SH,226,6,583.8,3,1,3,7,Loyal
R_1KrGWfbBFSsqxlt,212,12,231.38,3,2,2,7,Loyal
R_1Kru2C0Zf28ZbQ0,192,45,874.89,4,4,4,12,Champions
R_1Ks4GqaB1absf4q,162,49,581.99,4,4,3,11,Champions
R_1KuRw7yqmhN2In1,523,6,135.63,1,1,2,4,Lapsed
R_1KwJ4svzD8bxfTs,207,10,69.19,3,2,1,6,At Risk
R_1Kwnuz6KPM796nt,423,5,231.82000000000002,1,1,2,4,Lapsed
R_1KxVDxZl2H0XoHS,145,98,971.77,4,4,4,12,Champions
R_1LA7EtbBxPAL2qa,414,4,61.959999999999994,1,1,1,3,Lapsed
R_1LBb6RJC62dh4y4,247,33,546.38,3,4,3,10,Champions
R_1LBvKYfg8hgoloJ,1541,1,6.99,1,1,1,3,Lapsed
R_1LCDUCqkRzsNyRo,347,2,26.96,2,1,1,4,Lapsed
R_1LCMXBRIyG4h84a,135,19,478.64,4,3,3,10,Champions
R_1LCdu4c1mJw1NPw,437,1,17.68,1,1,1,3,Lapsed
R_1LFEtkSrCa4Ri46,229,16,534.11,3,3,3,9,Loyal
